26,45,51,0.33333,1
27,43,50,0.33333,1
27.75,45,51,0.16667,1
28,48,53,0.33333,1
29,43,50,0.33333,1
30,45,51,0.33333,1
31,43,50,0.33333,1
31.75,45,51,0.16667,1
32,41,49,0.33333,1
33,36,46,0.33333,1
34,38,47,0.33333,1
35,36,46,0.33333,1
35.75,38,47,0.16667,1
36,43,50,0.33333,1
37,38,47,0.33333,1
38,40,48,0.33333,1
39,38,47,0.33333,1
39.75,40,48,0.16667,1
40,41,49,0.33333,1
41,36,46,0.33333,1
42,38,47,0.33333,1
43,36,46,0.33333,1
43.75,38,47,0.16667,1
44,43,50,0.33333,1
45,38,47,0.33333,1
46,40,48,0.33333,1
47,38,47,0.33333,1
47.75,40,48,0.16667,1
48,48,53,0.33333,1
49,43,50,0.33333,1
50,45,51,0.33333,1
51,43,50,0.33333,1
51.75,45,51,0.16667,1
52,48,53,0.33333,1
53,43,50,0.33333,1
54,45,51,0.33333,1
55,43,50,0.33333,1
55.75,45,51,0.16667,1
56,48,53,0.33333,1
57,43,50,0.33333,1
58,45,51,0.33333,1
59,43,50,0.33333,1
59.75,45,51,0.16667,1
60,48,53,0.33333,1
61,43,50,0.33333,1
62,45,51,0.33333,1
63,43,50,0.33333,1
63.75,45,51,0.16667,1
64,48,53,0.33333,1
65,43,50,0.33333,1
66,45,51,0.33333,1
67,43,50,0.33333,1
67.75,45,51,0.16667,1
68,48,53,0.33333,1
69,43,50,0.33333,1
70,45,51,0.33333,1
71,43,50,0.33333,1
71.75,45,51,0.16667,1
72,41,49,0.33333,1
73,36,46,0.33333,1
74,38,47,0.33333,1
75,36,46,0.33333,1
75.75,38,47,0.16667,1
76,43,50,0.33333,1
77,38,47,0.33333,1
78,40,48,0.33333,1
79,38,47,0.33333,1
79.75,40,48,0.16667,1
80,41,49,0.33333,1
81,36,46,0.33333,1
82,38,47,0.33333,1
83,36,46,0.33333,1
83.75,38,47,0.16667,1
84,43,50,0.33333,1
85,38,47,0.33333,1
86,40,48,0.33333,1
87,38,47,0.33333,1
