130,50,54,0.5,0
130.5,38,47,0.83333,0
131.5,38,47,0.5,0
132,43,50,1.83333,0
134,43,50,0.33333,0
134.5,43,50,1.33333,0
136,43,50,1.83333,0
138,43,50,2,0
140,48,53,3.5,0
143.5,43,50,0.5,0
144,50,54,2,0
146,38,47,1.83333,0
148,40,48,1.33333,0
149.5,40,48,0.5,0
150,48,53,0.83333,0
151,48,53,0.83333,0
152,47,52,1.25,0
153.5,47,52,0.25,0
153.75,43,50,0.25,0
154,38,47,0.83333,0
155,38,47,0.33333,0
155.5,42,49,0.5,0
156,40,48,0.83333,0
157,40,48,0.33333,0
157.5,40,48,0.25,0
157.75,47,52,0.25,0
158,48,53,0.75,0
159,48,53,0.5,0
159.5,48,53,0.5,0
160,43,50,1,0
161,43,50,0.33333,0
161.5,43,50,0.25,0
161.75,48,53,0.25,0
162,50,54,0.83333,0
163,50,54,0.83333,0
164,40,48,1.75,0
165.75,47,52,0.25,0
166,48,53,0.83333,0
167,48,53,1,0
168,47,52,1.5,0
