57.33333,74,68,0.5,3
58,72,67,0.16667,3
59.66667,75,69,0.33333,3
60,74,68,1.16667,3
61.66667,74,68,0.33333,3
62,72,67,1.66667,3
63.66667,72,67,0.33333,3
64,74,68,0.83333,3
65,70,66,0.83333,3
66,72,67,1.25,3
67.66667,75,69,0.33333,3
68,74,68,1,3
69,70,66,0.16667,3
70,72,67,1.5,3
73,70,66,0.66667,3
73.66667,67,64,0.33333,3
74,69,65,1.16667,3
75.66667,67,64,0.33333,3
76,70,66,1,3
77,67,64,1,3
78,69,65,1.5,3
79.66667,67,64,0.33333,3
80,70,66,0.83333,3
81,67,64,0.16667,3
82,69,65,0.16667,3
83.5,72,67,0.5,3
84,70,66,1,3
85,67,64,0.16667,3
86,68,65,3.25,3
91,70,66,0.33333,3
91.33333,68,65,0.33333,3
91.66667,67,64,0.25,3
92,67,64,0.83333,3
93.33333,70,66,0.33333,3
93.66667,68,65,0.33333,3
94,67,64,0.33333,3
94.33333,70,66,0.33333,3
94.66667,72,67,0.33333,3
95,75,69,2.5,3
98.66667,70,66,0.5,3
99.16667,68,65,0.5,3
100,67,64,0.16667,3
101.33333,70,66,0.25,3
101.66667,68,65,0.33333,3
102,67,64,1,3
103,68,65,0.16667,3
104,65,63,1.83333,3
107,68,65,0.33333,3
107.33333,67,64,0.33333,3
107.66667,65,63,0.16667,3
108,65,63,1,3
109.33333,68,65,0.33333,3
109.66667,67,64,0.33333,3
110,65,63,0.66667,3
